recipe_id,ingredients_text
1,"1 (15-oz [420-g]) can chickpeas, drained and rinsed 1 (16-oz [448-g]) can diced tomatoes 1 bay leaf 1 clove garlic 1 cup (201 g) brown lentils 1 cup (211 g) basmati rice 1 large onion, finely chopped 1 tbsp (15 ml) red wine vinegar 1 tsp ground cumin 2 cloves garlic, minced 2 cups (232 g) elbow macaroni 2 cups (480 ml) vegetable stock 2 cups (480 ml) water, plus more as needed 2 large onions, thinly sliced 2 tbsp (30 ml) olive oil 2 tsp (10 g) salt 2 tsp (2 g) ras el hanout salt and black pepper, to taste vegetable oil, as needed ¼ tsp crushed red pepper flakes"
2,"1 beef, chicken or vegetable bouillon cube 1 large red bell pepper, roughly chopped 1 medium onion, roughly chopped 1 tsp all-purpose seasoning 1 tsp salt 2 cups parboiled rice, rinsed 2 small scotch bonnet chiles or habanero chiles 2½ cups (600 ml) chicken stock 3 bay leaves 3 tbsp (48 g) tomato paste 5 medium roma tomatoes, roughly chopped ¼ cup (60 ml) groundnut oil or vegetable oil ½ tsp curry powder ½ tsp dried thyme"
3,"1 (28-oz [784-g]) can whole peeled plum tomatoes, drained 1 bay leaf 1 chicken bouillon cube 1 cup (240 ml) chicken stock 1 large red bell pepper, roughly chopped 1 medium onion, thinly sliced 1 tbsp (3 g) dried thyme 1 tbsp (8 g) nigerian red pepper or cayenne pepper 1 tsp all-purpose seasoning 1 tsp garlic powder 1½ cups (360 ml) vegetable oil, divided 1½ tsp (2 g) dried thyme 2 small habanero chiles 2 tbsp (32 g) tomato paste 3 lb (1.4 kg) chicken (any cut) 4 medium roma tomatoes, roughly chopped salt and black pepper, as needed"
4,"1 medium onion, roughly chopped, divided 1 small habanero chile, diced 1 small onion, thickly sliced 1 tbsp (15 g) salt, plus more to taste 1 tbsp (8 g) cayenne pepper 1 tsp black pepper, plus more to taste 1 tsp smoked paprika 1½ lb (680 g) chicken breasts, cut into 2-inch (6-cm) pieces 2 medium tomatoes, roughly chopped 2 to 3 tbsp (6 to 9 g) dried parsley 3 cups (720 ml) water 3 to 4 cloves garlic, whole ¼ cup (60 ml) vegetable oil ¼ lb (113 g) carrots, roughly chopped ½ cup (90 g) smooth peanut butter ½ tsp white pepper ¾ lb (340 g) russet potatoes, roughly chopped"
5,"1 cup (240 ml) water 1 large onion, roughly chopped 1 small onion, roughly chopped 1 tbsp (3 g) dried thyme 1 tbsp (8 g) nigerian red pepper 1½ lb (680 g) beef stew meat 2 small habanero chiles, stems removed 3 tbsp (18 g) ground crayfish 4 cups (600 g) egusi melon seeds, ground 4 tbsp (85 g) bitter leaf, washed 6 cups (1.4 l) beef stock 6 cups (180 g) roughly chopped spinach fufu , for serving salt and black pepper, as needed ¾ cup (180 ml) palm oil"
6,"1 small habanero chile, seeded and minced 1 tbsp (16 g) dijon mustard 1 tsp salt 1½ cups (360 g) chicken stock 1½ tbsp (23 ml) peanut oil 4 boneless, skinless chicken breasts 4 chicken drumsticks 4 cups (460 g) sliced onions rice, for serving ½ cup (120 ml) water ½ cup (75 g) pimento-stuffed olives ½ tsp black pepper ⅓ cup (80 ml) fresh lemon juice"
7,"1 chicken bouillon cube 1 tbsp (8 g) garlic powder 1 tbsp (8 g) onion powder 1 tbsp (8 g) white pepper 2 lb (900 g) sirloin or chuck roast 2 tbsp (16 g) cayenne pepper or nigerian red pepper 2 tsp (6 g) smoked paprika salt, to taste vegetable oil, as needed ¼ cup (43 g) roasted almonds"
8,"1 beef or chicken bouillon cube 1 large ripe plantain, cut into ¼-inch (6-mm) thick rounds 1 small habanero chile, finely chopped 2 cups (303 g) dried black-eyed peas, soaked overnight 2 cups (60 g) tightly packed spinach, roughly chopped 3 tbsp (18 g) ground crayfish 4 cups (960 ml) water salt, to taste ¾ cup (180 ml) palm oil"
9,"1 large bell pepper (any color), diced 1 medium onion, diced 1 small habanero chile, diced 1 small tomato, diced 1 tsp dried thyme 1 tsp minced garlic 1 tsp paprika 2 large ripe plantains 2 tbsp (30 ml) milk 6 large eggs ¼ cup (10 g) fresh cilantro, roughly chopped ¼ cup (60 ml) vegetable oil, divided"
10,"1 chicken bouillon cube 1 large roma tomato, roughly chopped 1 medium onion, roughly chopped 1 small habanero chile, minced 1 tbsp (8 g) all-purpose seasoning 1 tbsp (8 g) nigerian red pepper 1 tsp onion powder 2 (12-oz [336-g]) cans corned beef 2 lb (900 g) roughly chopped spinach 2 tbsp (30 ml) vegetable oil 2 tsp (6 g) garlic powder boiled or fried plantains, for serving, optional boiled yams, for serving, optional"
11,"1 (1-inch [5-cm]) piece fresh ginger, peeled 1 chicken bouillon cube 1 medium onion, roughly chopped 1 tsp smoked paprika 10 cloves garlic 2 medium lemons 2 tsp (10 g) salt 2 tsp (5 g) star anise seeds 2 tsp (6 g) black pepper 2 tsp (6 g) ground african nutmeg (ehuru) 4 whole tilapia, washed and cleaned thoroughly rice, for serving vegetable oil, as needed ½ cup fresh cilantro"
