recipe_id,ingredient_index,ingredient_line_raw,ingredient_name_clean,base_ingredient,form,parse_status,review_reason
131,10,4 whole cloves,,,whole,drop,empty_base_after_cleaning
145,7,large pinch ground cloves,,,ground,drop,empty_base_after_cleaning
30,9,½ tsp ground cloves,,,ground,drop,empty_base_after_cleaning
144,5,Â½ tbsp ground cloves,,,ground,drop,empty_base_after_cleaning
15,1,"I love hot sauce. It’s something that I have with almost every meal. There are so many variations of hot sauce, and I’ve spent a lot of time testing the ones I love best. When it comes down to the nitty-gritty, it’s all about the choice of pepper. This sauce uses one of the hottest chiles known to humanity, the African bird’s eye chile. Dip your sweet fried plantains in this sauce and you’ve got the perfect “sweet and heat” snack.",,,unspecified,drop,non_ingredient_text
8,1,"My dad loves beans. He can make a pot of beans like no other. I, on the other hand, have a love-hate relationship with beans. It seems like I’ve never been able to enjoy them on their own and always need something to accompany them. My solution to that conundrum is this recipe. Some of my favorite ingredients, like palm oil and plantain, are included here—having other ingredients in the pot of beans enhances the flavor and breaks up the monotony of only having beans. I love the texture the spinach and plantains add.",,,unspecified,drop,non_ingredient_text
17,1,"My mum would make us eat boxed macaroni and cheese with frozen fish sticks quite frequently while I was growing up. When I was a little kid, I actually used to love that meal—that quickly starting changing the older I got, though. I started to hate those frozen fish sticks and would secretly dread the entire meal. I started making my own fish sticks in the form of these Senegalese Fried Fish Balls. They’re the perfect way for me to enjoy fish sticks: never frozen and, of course, a spicy tomato sauce to go with them.",,,unspecified,drop,non_ingredient_text
209,1,,,,unspecified,drop,non_ingredient_text
1,21,"1 (15-oz [420-g]) can chickpeas, drained and rinsed",chickpea,chickpea,unspecified,review,contains_conjunction
59,14,"1 (15-oz [420-g]) can chickpeas, drained and rinsed",chickpea,chickpea,unspecified,review,contains_conjunction
50,15,"1 (16-oz [448-g]) can chickpeas, drained and rinsed",chickpea,chickpea,unspecified,review,contains_conjunction
263,10,1 Tablespoon Bisto or Gravy Thickener,bisto gravy thickener,bisto gravy thickener,unspecified,review,contains_conjunction
267,4,1 Teaspoon or regular Salt or seasoned salt.,regular salt seasoned salt,regular salt seasoned salt,unspecified,review,contains_conjunction
247,3,1 and 1/2 cup lukewarm water,lukewarm water,lukewarm water,unspecified,review,contains_conjunction
247,6,1 and 1/2 tsp instant yeast,instant yeast,instant yeast,unspecified,review,contains_conjunction
8,7,1 beef or chicken bouillon cube,beef chicken (bouillon),beef chicken,bouillon,review,contains_conjunction
13,8,1 beef or chicken bouillon cube,beef chicken (bouillon),beef chicken,bouillon,review,contains_conjunction
2,12,"1 beef, chicken or vegetable bouillon cube",beef chicken vegetable (bouillon),beef chicken vegetable,bouillon,review,contains_conjunction
25,8,1 chicken or vegetable bouillon cube,chicken vegetable (bouillon),chicken vegetable,bouillon,review,contains_conjunction
62,11,"1 cup (150 g) frozen peas and carrots, thawed",pea carrot thawed (frozen),pea carrot thawed,frozen,review,contains_conjunction
50,7,1 cup (240 ml) chicken or vegetable stock,chicken vegetable (stock),chicken vegetable,stock,review,contains_conjunction
163,6,1 cup buttermilk (or ½ cup plain them,buttermilk plain them,buttermilk plain them,unspecified,review,contains_conjunction
178,4,1 cup cassava flour or all-purpose ; : ; :,cassava flour all-purpose,cassava flour all-purpose,unspecified,review,contains_conjunction
165,2,1 cup full-fat unsweetened and the reserved bone,full-fat unsweetened reserved bone,full-fat unsweetened reserved bone,unspecified,review,contains_conjunction
141,9,1 heaped tsp ancho or habanero chilli flakes (optional),heaped ancho habanero chilli (flakes),heaped ancho habanero chilli,flakes,review,contains_conjunction
250,1,"1 kg Kariba Bream, gutted and scaled",kariba bream gutted scaled,kariba bream gutted scaled,unspecified,review,contains_conjunction
35,12,"1 large avocado, pitted, peeled and sliced, for serving",avocado pitted,avocado pitted,unspecified,review,contains_conjunction
14,9,"1 medium red or yellow bell pepper, diced",red yellow bell pepper,red yellow bell pepper,unspecified,review,contains_conjunction
162,3,1 pound kale and/or collards,pound kale collard,pound kale collard,unspecified,review,contains_conjunction
140,1,"1 red pepper , deseeded and chopped",red pepper deseeded,red pepper deseeded,unspecified,review,contains_conjunction
6,7,"1 small habanero chile, seeded and minced",habanero chile seeded,habanero chile seeded,unspecified,review,contains_conjunction
17,18,"1 small jalapeño, seeded and roughly chopped",jalape seeded,jalape seeded,unspecified,review,contains_conjunction
15,3,"1 small yellow or red bell pepper, roughly chopped",yellow red bell pepper,yellow red bell pepper,unspecified,review,contains_conjunction
149,4,1 tbsp fresh or dried thyme leaves,thyme leave (fresh),thyme leave,fresh,review,contains_conjunction
139,9,1 tbsp white wine or spirit vinegar,white wine spirit vinegar,white wine spirit vinegar,unspecified,review,contains_conjunction
167,2,1 teaspoon curry powder or,curry (powder),curry,powder,review,contains_conjunction
147,5,"1 tsp cumin seeds, roughly crushed with a pestle and mortar",cumin seed pestle mortar,cumin seed pestle mortar,unspecified,review,contains_conjunction
268,7,1/4 Teaspoon Smoked Paprika or Curry Powder,paprika curry (smoked),paprika curry,smoked,review,contains_conjunction
133,3,"15g/Â½oz ginger , peeled and grated",ginger (fresh),ginger,fresh,review,contains_conjunction
178,1,1½ cup warm water (at body and the,warm water body,warm water body,unspecified,review,contains_conjunction
30,22,"1½ cups (302 g) red lentils, washed and drained",red lentil washed,red lentil washed,unspecified,review,contains_conjunction
137,4,"1â2 Scotch bonnet chillies , roughly chopped or left whole",scotch bonnet chilly left (whole),scotch bonnet chilly left,whole,review,contains_conjunction
275,2,2 Teaspoons Soda or Bicarbonate of Soda,soda bicarbonate soda,soda bicarbonate soda,unspecified,review,contains_conjunction
257,9,2 and 3/4 tsp salt,salt,salt,unspecified,review,contains_conjunction
131,3,"2 carrots , peeled and chopped",carrot,carrot,unspecified,review,contains_conjunction
22,1,"2 large carrots, peeled and shredded",carrot shredded,carrot shredded,unspecified,review,contains_conjunction
22,9,"2 large hard-boiled eggs, peeled and sliced",hard-boiled egg,hard-boiled egg,unspecified,review,contains_conjunction
36,3,"2 large jalapeño chiles, seeded and diced",jalape chile seeded,jalape chile seeded,unspecified,review,contains_conjunction
