recipe_title,servings,ingredients,cooking_methods,source_url
10-Minute Couscous Salad,2,"3 1/2 ounces couscous | 7/8 cup vegetable broth (from a cube is fine) | 2 scallions | 1 red pepper | 1/2 cucumber | 2 ounces feta cheese, cubed | 2 tablespoons pesto sauce | 2 tablespoons toasted pine nuts",,https://www.food.com/recipe/10-minute-couscous-salad-421355
25-Minute Tunisian Vegetable Couscous,6,"1 tablespoon olive oil | 1 red onion, chopped | 1 zucchini, coarsely chopped | 1 yellow squash, coarsely chopped | 1 carrot, coarsely chopped | 1 red bell pepper, coarsely chopped | 1 yellow bell pepper, coarsely chopped | 1/2 cup sliced baby portabella mushrooms | 4 cups vegetable broth | 1/2 teaspoon smoked sweet paprika | 1/4 teaspoon ground cardamom | 1/4 teaspoon salt | 1 tablespoon chopped fresh cilantro | 1 (16 ounce) can chickpeas, drained | 2 roma tomatoes, sliced | 2 cups dry couscous | 1 teaspoon grated orange zest | 1 tablespoon grated parmesan cheese (optional) | 1/2 teaspoon paprika (optional) | 1 tablespoon finely chopped toasted almond (optional)",boil,https://www.food.com/recipe/25-minute-tunisian-vegetable-couscous-502982
3 Layered Tunisian Tagine,4,"2 tablespoons olive oil | 2 medium onions, finely chopped | 1/2 lb ground meat (if possible lamb) | 4 garlic cloves, crushed | 1 tablespoon ground coriander | salt and pepper (to taste) | chili powder (optional to taste) | 2 lbs spinach (blanches, squeezed and chopped) | 3 eggs, lightly beaten | 3 -4 ounces gruyere, cheese (or parmesan, grated) | 6 ounces fresh cheese (ricotta, mizythra or cream cheese) | 3 eggs, lightly beaten | 1 cup parsley, fresh, chopped | 3 eggs, lightly beaten","bake, fry",https://www.food.com/recipe/3-layered-tunisian-tagine-464692
A Simple Harissa,1,"2 large ripe tomatoes | 1 small onion, peeled (or 2 shallots) | 3 tablespoons fresh parsley, minced | 1 tablespoon hot paprika (or 1 1/2 tsp. cayenne pepper) | 2 tablespoons extra virgin olive oil | 1 tablespoon fresh lemon juice | salt and pepper",,https://www.food.com/recipe/a-simple-harissa-424892
A Taste of Africa - Kenyan Chicken Curry,6,"40 g fresh ginger, grated | 6 garlic cloves, crushed | 2 teaspoons ground turmeric | 1/2 cup lemon juice | 1/3 cup vegetable oil | 1 teaspoon ground cumin | 3 teaspoons garam masala | 1 tablespoon ground coriander | 1 teaspoon paprika | 1 teaspoon chili flakes | 1/4 cup plain yogurt | 1 kg chicken thigh fillet, cut into 3 cm pieces | 600 g brown onions, chopped coarsely | 2 teaspoons chili powder | 2 teaspoons ground fenugreek | 800 g tinned crushed tomatoes | 1 stick cinnamon | 2 long green chilies, finely chopped | 300 ml cream | 1 tablespoon honey | 1/4 cup coarsely chopped coriander leaves",simmer,https://www.food.com/recipe/a-taste-of-africa-kenyan-chicken-curry-367586
A Very Special Moroccan Lamb Stew,8,"2 1/2 lbs boneless lamb shoulder | 1/4 extra virgin olive oil | 4 small yellow onions | 2 tablespoons minced fresh gingerroot or 2 teaspoons ground ginger | 2 garlic cloves, crushed | 1/4 cup chopped parsley | salt | 1/4 teaspoon turmeric | 1/8 teaspoon black pepper | 1 (15 ounce) can fire-roasted diced tomatoes, undrained | 1 cup raisins | 1/2 cup unblanched almonds | 2 tablespoons butter or 2 tablespoons margarine | 2 hard-boiled eggs | 3 cups cold water | 1 1/2 cups long-grain white rice | 1 1/2 tablespoons butter | chopped parsley","boil, saute, simmer",https://www.food.com/recipe/a-very-special-moroccan-lamb-stew-502957
Add a Little Interest With Persian Couscous,3,"1 cup couscous | 2 teaspoons vegetable stock powder | 1/2 teaspoon sugar | 1/2 grated an orange, rind of (optional) | 2 cups boiling water | 1/4-1/2 cup chopped almonds or 1/4-1/2 cup pine nuts | 1/4-1/2 cup currants | 2 tablespoons butter or 2 tablespoons olive oil | 1/4-1/2 cup dried apricot, chopped | 2 spring onions | 1/4 cup chopped coriander leaves","boil, fry",https://www.food.com/recipe/add-a-little-interest-with-persian-couscous-353023
African Adobo-Rubbed Tuna Steaks,4,"2 ripe avocados, pitted, peeled, and cut into 1/2-inch cubes | 3 scallions, white and green parts, thinly sliced on the bias | 2 jarred piquillo peppers, diced (or substitute 2 jarred roasted red peppers) | 2 garlic cloves, minced | 1/3 cup fresh orange juice | 1/4 cup fresh lime juice | 1/2 cup extra virgin olive oil | kosher salt & freshly ground black pepper | 1 1/2 teaspoons coriander seeds, toasted and ground | 1 teaspoon ground ginger | 1 1/2 teaspoons red pepper flakes, crushed | 1 1/2 teaspoons ground turmeric | 1 1/2 tablespoons dry mustard | 1 1/2 teaspoons grated nutmeg | 1 1/2 teaspoons ground allspice | 1 1/2 teaspoons cayenne pepper | 1 1/2 teaspoons fresh ground black pepper | 1 1/2 tablespoons kosher salt | 1 tablespoon paprika | 1 1/2 tablespoons dried orange peel | 1 tablespoon sugar | four 6-ounce tuna steak | 1/4 cup peanut oil or 1/4 cup canola oil | 2 1/2 tablespoons sugar | 1/2 cup champagne vinegar | 1 seedless European cucumber, peeled, halved lengthwise, seeded, and very thinly sliced","marinate, smoke",https://www.food.com/recipe/african-adobo-rubbed-tuna-steaks-456085
African Banana Peanut Cake,8,"2 cups flour | 2 teaspoons baking powder | 1/4 teaspoon salt | 2/3 cup butter, soft | 3/4 cup sugar | 2 eggs | 4 bananas, large and very ripe peeled and mashed | 1 cup peanuts, coarsely chopped (salted peanuts)",bake,https://www.food.com/recipe/african-banana-peanut-cake-452388
African Banana Peanut Cake,8,"2 cups all-purpose flour | 2 teaspoons baking powder | 1/4 teaspoon salt | 1/4 teaspoon baking soda | 2/3 cup butter or 2/3 cup margarine, softened | 3/4 cup sugar | 2 eggs | 4 large bananas, peeled and mashed (very ripe) | 1 cup salted peanuts, coarsely chopped (divided)",bake,https://www.food.com/recipe/african-banana-peanut-cake-457019
