recipe_id,ingredient_id,ingredient_index,qty_value,unit,portion_factor,ingredient_line_raw,parse_status,review_reason,std_unit,actual_measure,standard_unit,measure_only
1,397,1,,,1.0,2 tbsp (30 ml) olive oil,ok,,2 tablespoon (30 ml) olive oil,30 ml,2 tablespoon olive oil,2 tablespoon
1,34,2,,,1.0,1 cup (211 g) basmati rice,ok,,1 cup (211 g) basmati rice,211 g,1 cup basmati rice,1 cup
1,613,3,,,1.0,2 cups (480 ml) vegetable stock,ok,,2 cups (480 ml) vegetable stock,480 ml,2 cups vegetable stock,2 cups
1,92,4,,,1.0,1 cup (201 g) brown lentils,ok,,1 cup (201 g) brown lentils,201 g,1 cup brown lentils,1 cup
1,626,5,,,1.0,"2 cups (480 ml) water, plus more as needed",ok,,"2 cups (480 ml) water, plus more as needed",480 ml,"2 cups water, plus more as needed",2 cups
1,251,6,,,1.0,1 clove garlic,ok,,1 clove garlic,,1 clove garlic,1 clove
1,197,7,,,1.0,1 tsp ground cumin,ok,,1 teaspoon ground cumin,,1 teaspoon ground cumin,1 teaspoon
1,35,8,,,1.0,1 bay leaf,ok,,1 bay leaf,,1 bay leaf,
1,522,9,,,1.0,2 tsp (10 g) salt,ok,,2 teaspoon (10 g) salt,10 g,2 teaspoon salt,2 teaspoon
1,215,10,,,1.0,2 cups (232 g) elbow macaroni,ok,,2 cups (232 g) elbow macaroni,232 g,2 cups elbow macaroni,2 cups
1,399,12,,,1.0,"1 large onion, finely chopped",ok,,"1 large onion, finely chopped",,"1 large onion, finely chopped",1 large
1,251,13,,,1.0,"2 cloves garlic, minced",ok,,"2 cloves garlic, minced",,"2 cloves garlic, minced",2 cloves
1,597,14,,,1.0,1 (16-oz [448-g]) can diced tomatoes,ok,,1 (16-oz [448-g]) can diced tomatoes,16-oz [448-g],1 can diced tomatoes,1 can
1,474,15,,,1.0,2 tsp (2 g) Ras El Hanout,ok,,2 teaspoon (2 g) Ras El Hanout,2 g,2 teaspoon Ras El Hanout,2 teaspoon
