recipe_id,recipe_name,servings,ingredients,source_url,strategy_used
134,"Ekuru, stewed greens and crispy cod cheeks",4,"120g/4Â1/2oz black eyed beans, soaked overnight or for at least 5 hours | 100g/3Â1/2oz onion | 80g/3oz egusi seeds, toasted | 6g/Â1/4oz white pepper | 50ml/1Â3/4oz vegetable oil, plus extra for greasing | 10g vegetable bouillon powder | 200g/7oz free-range egg whites | 100g/3Â1/2oz neutral oil | 150g/5Â1/2oz onion, finely chopped | 1 tbsp chishuru iru mix or fermented fish paste | 3 peppers (red, yellow, green), sliced | 350g/12oz fresh tomatoes, chopped | 20g/Â3/4oz Scotch bonnet chillies, diced | 1kg/2lb 4oz greens (any green cabbage), washed and chopped | 80ml/2Â1/2fl oz chicken stock | sea salt | 100g/3Â1/2oz cornflour | 50g/1Â3/4oz rice flour | Â1/2 tsp baking powder | 250g/9oz cold soda water | 4 cod cheeks (see tips) | 2 tbsp plain flour, for dusting | Â1/2 tsp sea salt",https://www.bbc.co.uk/food/recipes/ekuru_stewed_greens_and_67084,jsonld
138,Lamb and apricot Cape Malay curry,4,"1 shoulder of lamb (approximately 1kg/2lb 4oz), diced | 1 tsp ground coriander | 1 tsp ground cumin | 1 tsp garam masala | 2 tsp ground turmeric | 1 tbsp tamarind paste | 2 tsp dried chillies | 1 tsp fennel seeds | 3 garlic cloves | 1 cinnamon stick | 3 garlic cloves, finely grated | 1 red chilli, finely chopped | 1cm/Â1/2in piece fresh root ginger, finely grated | 2 tbsp sunflower oil | 2 onions, thinly sliced | 2 tsp dried chilli flakes | 1 tsp fennel seeds | 3 garlic cloves | 1cm/Â1/2in piece fresh root ginger, finely grated | 2 tbsp tomato purÃ©e | 400g tin chopped tomatoes | large handful dried apricots, roughly chopped | 2 tbsp apricot chutney | 100g/3Â1/2oz desiccated coconut | bunch fresh coriander, roughly chopped, to serve | 50g/1Â3/4oz fresh coconut, grated, to serve | 500g/1lb 2oz dried couscous | 1 small cucumber, diced | 1 pomegranate, seeds only | bunch fresh basil, roughly chopped | bunch flatleaf parsley, roughly chopped | bunch fresh coriander, roughly chopped | handful dried apricots, roughly chopped | 4 spring onions, roughly chopped",https://www.bbc.co.uk/food/recipes/lamb_and_apricot_cape_72967,jsonld
140,Nigerian stew and cauliflower fried âriceâ,4,"1 red pepper, deseeded and chopped | 1 brown onion, roughly chopped | 4 garlic cloves, finely chopped or grated | 4cm/1Â1/2in piece fresh root ginger, peeled and finely grated | generous pinch red chilli flakes, plus extra if desired | 2 tbsp vegetable oil | 1 brown onion, finely chopped | 2 garlic cloves, finely chopped | Â1/4 tsp chilli powder | Â1/2 tsp smoked paprika | Â1/2 bay leaf | 1 tsp caster sugar | Â1/4 tsp allspice | 1 heaped tbsp tomato purÃ©e | 400g tin chopped tomatoes | salt and freshly ground black pepper | small handful chopped fresh basil, to garnish | 1 cauliflower, cut into florets | 2 tbsp olive oil | 4 smoked bacon rashers (back or streaky), chopped (optional) | 2 garlic cloves, finely chopped | 1 brown onion, finely chopped | 2.5cm/1in piece fresh root ginger, finely grated | 1 yellow pepper, deseeded and finely chopped | Â1/2 vegetable stock cube | salt and freshly ground black pepper",https://www.bbc.co.uk/food/recipes/nigerian_stew_and_13543,jsonld
146,Suya beef fillet burger,2,"4g smoked paprika | 2g cayenne pepper | 6g ginger powder | 4g garlic powder | 1g ground black pepper | 11g onion salt | 7g ground turmeric | 6g extra hot chilli powder | 1g ground uda pods (also known as selim pepper) | 1 large egg yolk | 4 tsp suya spice (see above) | 2 tsp fresh lemon juice | 125ml/4fl oz rapeseed oil | 1-2 tsp just-boiled water | 75g/2Â1/2oz peeled and deseeded watermelon, cut into 1cm/Â1/2in cubes | 75g/2Â1/2oz cucumber, cut into 1cm/Â1/2in cubes | 75g/2Â1/2oz feta cheese, cut into 1cm/Â1/2in cubes | 1 tbsp finely chopped fresh curly leaf parsley | large pinch nigella seeds, toasted | 200g/7oz purple sweet potato (see tip) | 200g/7oz sweet potato | vegetable oil, for deep frying | 1 medium red onion, cut into rings | 2 tbsp olive oil, for frying | 1 tsp golden caster sugar | 2 x 125g/4Â1/2oz beef fillet steaks | Â1/2 tsp coarsely ground black pepper | 2 white ciabatta rolls, cut in half | 2 tbsp âsuyannaiseâ (see above) | 1 beef tomato, sliced into rounds | 1 Little Gem lettuce, shredded | 2 tsp suya spice, plus extra to taste | 50g/1Â3/4oz smoked cheddar, grated",https://www.bbc.co.uk/food/recipes/suya_fillet_burger_with_59824,jsonld
203,Grilled Corn,4,"4 ears of corn husks and silk removed | unsalted butter softened | Optional toppings: fresh herbs salt, pepper, cilantro, parsley, or chives, crumbled feta or cotija cheese, chili powder, lime wedges",https://cheflolaskitchen.com/grilled-corn-on-the-cob/,wprm
214,60 Nigerian Recipes You Need To Try,,Jollof Rice | Nigerian Fried Rice Recipe | Nigerian Meat Pie | Best Egusi Soup | Spinach Stew (Efo Riro) | Nigerian Beef Stew | African Buns – Nigerian Buns | Puff Puff Recipe | Plantain Puff Puff | Spicy Puff Puff Recipe | Nigerian Chicken Stew | Nigerian Style Chicken Fried Rice | Nigerian Pepper Sauce – Ata dindin | The Classic Nigerian Salad | Eba | Pounded Yam | Nigerian Egg Roll Recipe | Yam Pottage/Yam Porridge (Asaro) Recipe | Yam Porridge with Plantains | Moin/Moi Moi | Rice and Beans Recipe | Ewedu – Jute Leaves Soup | Akara – Black Eyed Peas Fritters | West African Pepper Sauce | West African Fufu | Plantain fufu | Banga Soup | Ewa Riro (Stewed Beans) | Crispy Spring Rolls – African Style | Okro Pepper Soup | Ogbono Soup | Catfish Stew | Hearty Salmon Stew | Jollof Rice – Oven Baked | Native Jollof Rice – Iwuk Edesi/Palm Oil Rice | Stick Meat | Ata Lilo (Starter Sauce | Jollof Spaghetti | Turkey Stew – African Style | Ewa Agoyin (Ewa Aganyin) | African Masa Recipe | African Sausage Rolls | West African Coconut Rice | African Pound Cake | Chin Chin | Stuffed Savory Masa (Waina) | Meat Floss (Beef Floss) | Easy Wheat Meat Pie (Beef Pie) | Chicken Pie | African Pepper Soup – Goat Meat | Fried Sauce with African Meatballs | African Fish Pastry | Ayamase Stew (Ofada Stew) | Asun (Smoked Goat Meat) | West African Peanut Soup (Maafe) – Nigerian Style | Grilled Plantains | Fried plantains | Suya Spice | Chicken pepper Soup | Grilled fish,https://cheflolaskitchen.com/nigerian-recipes-you-need-to-try/,wprm
339,Accra Cassava (Kouti or Cassava Fritters),12,2 pounds grated cassava (frozen is okay) | 3/4 teaspoon salt or more (adjust to taste) | 3 large overly ripe bananas (optional),https://www.africanbites.com/accra-cassavakouti-cassava-fritters/,wprm
340,Achu Soup,6,"1-2 pounds (450-900g) assorted meat (beef, tripe, cow skin, smoked fish, dried crawfish, etc.) | salt (½-¾ teaspoon (3-4g) per pound) | ground red pepper to taste (or a whole scotch bonnet) | 6-7 cups (1½L) stock (or 6 cups water with 2 tablespoons beef bouillon) | 1/2 cup (118ml) red palm oil | 2 tablespoons (15g) ground achu spice | 1 tablespoon (10-11g) bouillon powder or Maggi | 1 tablespoon (10g) ground limestone | 4-5 pounds (1.8-2.25kg) cocoyams (taro) | 2 green bananas or plantains (optional) | salt to taste",https://www.africanbites.com/achu-soupyellow-soup-achu/,wprm
379,Cassava FuFu/Water Fufu,4,"2 tubers cassava | water (as much as needed) | 1 lemon, juiced (optional)",https://www.africanbites.com/cassava-fufu-water-fufu/,wprm
404,Egusi Pudding,5,"1 cup dried fish | 1/2 pound beef boiled (cut in bite size) , reserve about 1 ½ cup broth | 2 cups ground egusi | 1/3 ground Cray fish | 1 small scotch bonnet pepper minced or 1 teaspoon dried pepper | 1-2 bouillon cube or Maggie | Salt as needed",https://www.africanbites.com/egusi-pudding/,wprm
