recipe_id,recipe_name,recipe_url,kept_id,kept_name,reason
72,Egusi Soup,https://www.allrecipes.com/recipe/12978/egusi-soup/,5,EGUSI SOUP,"duplicate of kept_id=5 (norm_key=""egusi soup"")"
283,EGUSI SOUP,https://www.allrecipes.com/recipe/12978/egusi-soup/,5,EGUSI SOUP,"duplicate of kept_id=5 (norm_key=""egusi soup"")"
405,EGUSI SOUP,https://www.africanbites.com/egusi-soup/,5,EGUSI SOUP,"duplicate of kept_id=5 (norm_key=""egusi soup"")"
1117,PUFF PUFF,https://www.food.com/recipe/puff-puff-415720,27,PUFF PUFF,"duplicate of kept_id=27 (norm_key=""puff puff"")"
36,KACHUMBARI,,437,KACHUMBARI,"duplicate of kept_id=437 (norm_key=""kachumbari"")"
160,Kachumbari,,437,KACHUMBARI,"duplicate of kept_id=437 (norm_key=""kachumbari"")"
366,BHAJIAS,https://www.africanbites.com/bhajias/,37,BHAJIAS,"duplicate of kept_id=37 (norm_key=""bhajia"")"
39,INJERA,,433,INJERA,"duplicate of kept_id=433 (norm_key=""injera"")"
84,Shakshuka,https://www.allrecipes.com/recipe/213717/chakchouka-shakshouka/,44,SHAKSHUKA,"duplicate of kept_id=44 (norm_key=""shakshuka"")"
295,SHAKSHUKA,https://www.allrecipes.com/recipe/213717/chakchouka-shakshouka/,44,SHAKSHUKA,"duplicate of kept_id=44 (norm_key=""shakshuka"")"
48,MOROCCAN CHICKEN TAGINE,,890,MOROCCAN CHICKEN TAGINE,"duplicate of kept_id=890 (norm_key=""moroccan chicken tagine"")"
57,SOUTH AFRICAN YELLOW RICE,,1200,SOUTH AFRICAN YELLOW RICE,"duplicate of kept_id=1200 (norm_key=""south african yellow rice"")"
126,South African Yellow Rice,https://www.allrecipes.com/recipe/98799/south-african-yellow-rice/,1200,SOUTH AFRICAN YELLOW RICE,"duplicate of kept_id=1200 (norm_key=""south african yellow rice"")"
337,SOUTH AFRICAN YELLOW RICE,https://www.allrecipes.com/recipe/98799/south-african-yellow-rice/,1200,SOUTH AFRICAN YELLOW RICE,"duplicate of kept_id=1200 (norm_key=""south african yellow rice"")"
62,VETKOEK,,511,VETKOEK,"duplicate of kept_id=511 (norm_key=""vetkoek"")"
63,BOBOTIE,,373,BOBOTIE,"duplicate of kept_id=373 (norm_key=""bobotie"")"
592,BOBOTIE,https://www.food.com/recipe/bobotie-5468,373,BOBOTIE,"duplicate of kept_id=373 (norm_key=""bobotie"")"
593,BOBOTIE,https://www.food.com/recipe/bobotie-62202,373,BOBOTIE,"duplicate of kept_id=373 (norm_key=""bobotie"")"
67,MALVA PUDDING,,448,MALVA PUDDING,"duplicate of kept_id=448 (norm_key=""malva pudding"")"
139,Malva pudding,https://www.bbc.co.uk/food/recipes/malva_pudding_98083,448,MALVA PUDDING,"duplicate of kept_id=448 (norm_key=""malva pudding"")"
68,Cape Malay Pickled Fish,https://www.allrecipes.com/recipe/104444/cape-malay-pickled-fish/,279,CAPE MALAY PICKLED FISH,"duplicate of kept_id=279 (norm_key=""cape malay pickled fish"")"
69,Lamb Tagine,https://www.allrecipes.com/recipe/105044/lamb-tagine/,280,LAMB TAGINE,"duplicate of kept_id=280 (norm_key=""lamb tagine"")"
801,LAMB TAGINE,https://www.food.com/recipe/lamb-tagine-414773,280,LAMB TAGINE,"duplicate of kept_id=280 (norm_key=""lamb tagine"")"
802,LAMB TAGINE,https://www.food.com/recipe/lamb-tagine-502979,280,LAMB TAGINE,"duplicate of kept_id=280 (norm_key=""lamb tagine"")"
