recipe_title,servings,ingredients,cooking_methods,source_url
Cape Malay Pickled Fish,12,"1/2 cup vegetable oil for frying | 3 pounds cod fillets, cut into 2 to 3 ounce portions | salt to taste | 2 large onions, peeled and sliced into rings | 2 cloves garlic, chopped | 1  red chile pepper, seeded and sliced lengthwise | 3 large bay leaves | 8  whole black peppercorns | 4  whole allspice berries | 2 cups red wine vinegar | 1/2 cup water | 1/2 cup packed brown sugar, or to taste | 2 tablespoons curry powder | 2 teaspoons ground cumin | 2 teaspoons ground coriander | 1 teaspoon ground turmeric","boil, fry",https://www.allrecipes.com/recipe/104444/cape-malay-pickled-fish/
Lamb Tagine,4,"2 pounds lamb meat, cut into 1 1/2 inch cubes | 3 tablespoons olive oil, divided | 2 teaspoons paprika | 1 teaspoon ground cinnamon | 1 teaspoon kosher salt | 3/4 teaspoon garlic powder | 3/4 teaspoon ground coriander | 1/2 teaspoon ground cumin | 1/2 teaspoon ground cardamom | 1/2 teaspoon ground ginger | 1/4 teaspoon ground turmeric | 1/4 teaspoon cayenne pepper | 1/4 teaspoon ground cloves | 1 pinch saffron | 2 medium onions, cut into 1-inch cubes | 5  carrots, peeled, cut into fourths, then sliced lengthwise into thin strips | 3 cloves garlic, minced | 1 tablespoon freshly grated ginger | 1  lemon, zested | 1 (14.5 ounce) can homemade chicken broth or low-sodium canned broth | 1 tablespoon sun-dried tomato paste | 1 tablespoon honey | 1 tablespoon cornstarch (Optional) | 1 tablespoon water (Optional)","boil, simmer",https://www.allrecipes.com/recipe/105044/lamb-tagine/
Moroccan Couscous,8,"1 1/4 teaspoons ground cumin | 1/2 teaspoon ground ginger | 1/4 teaspoon ground cloves | 1/8 teaspoon ground cayenne pepper | 1/2 teaspoon ground cardamom | 1/4 teaspoon ground coriander | 1/4 teaspoon ground allspice | 1 tablespoon olive oil | 1  red onion, cut in half and thinly sliced | 1  red, green, or yellow bell pepper, cut into 1-inch pieces | 2  zucchinis, halved lengthwise and cut into 3/4-inch pieces | 1/2 cup golden raisins | 1 teaspoon kosher salt | grated zest of one orange | 1 (14.5 ounce) can low-sodium chickpeas, rinsed and drained | 1 1/2 cups chicken broth | 1/2 cup orange juice | 1 1/2 cups couscous | 3 tablespoons chopped fresh mint","boil, toast",https://www.allrecipes.com/recipe/105045/moroccan-couscous/
Moroccan Lentil Soup,6,"2  onions, chopped | 2 cloves garlic, minced | 1 teaspoon grated fresh ginger | 6 cups water | 1 cup red lentils | 1 (15 ounce) can garbanzo beans, drained | 1 (19 ounce) can cannellini beans | 1 (14.5 ounce) can diced tomatoes | 1/2 cup diced carrots | 1/2 cup chopped celery | 1 teaspoon garam masala | 1 1/2 teaspoons ground cardamom | 1/2 teaspoon ground cayenne pepper | 1/2 teaspoon ground cumin | 1 tablespoon olive oil","blend, boil, saute, simmer",https://www.allrecipes.com/recipe/12960/moroccan-lentil-soup/
Egusi Soup,6,"3/4 cup egusi seeds or pumpkin seeds | 1 1/2 pounds cubed beef stew meat | salt to taste | 1/2 cup peanut oil | 2 large tomatoes, chopped | 1 small onion, chopped | 2  habanero peppers, seeded and minced | 2 pounds fresh shrimp, peeled and deveined | 18 ounces tomato sauce | 1 1/2 cups water | 3 tablespoons tomato paste | 1 pound fresh spinach, washed and chopped","blend, simmer, smoke",https://www.allrecipes.com/recipe/12978/egusi-soup/
African-Style Oxtail Stew,6,"10 cups water | 1 cup chopped celery | 1 (6 ounce) can tomato paste | 2 cubes beef bouillon | 1 teaspoon minced garlic | 6  whole black peppercorns | 2  bay leaves | 1/4 cup canola oil | 3 pounds beef oxtail, cut into pieces | 1 large onion, chopped | salt and ground black pepper to taste | 1 (15 ounce) can kidney beans, drained | 1/4 cup cornstarch | 1/2 cup water","simmer, stew",https://www.allrecipes.com/recipe/137967/african-style-oxtail-stew/
Marrakesh Vegetable Curry,6,"1  sweet potato, peeled and cubed | 1  medium eggplant, cubed | 1  green bell pepper, chopped | 1  red bell pepper, chopped | 2  carrots, chopped | 1  onion, chopped | 6 tablespoons olive oil | 3 cloves garlic, minced | 1 teaspoon ground turmeric | 1 tablespoon curry powder | 1 teaspoon ground cinnamon | 3/4 tablespoon sea salt | 3/4 teaspoon cayenne pepper | 1 (15 ounce) can garbanzo beans, drained | 1/4 cup blanched almonds | 1  zucchini, sliced | 2 tablespoons raisins | 1 cup orange juice | 10 ounces spinach","saute, simmer",https://www.allrecipes.com/recipe/13988/marrakesh-vegetable-curry/
Ras el Hanout,12,1 teaspoon salt | 1 teaspoon ground cumin | 1 teaspoon ground ginger | 1 teaspoon ground turmeric | 3/4 teaspoon ground cinnamon | 3/4 teaspoon freshly ground black pepper | 1/2 teaspoon ground white pepper | 1/2 teaspoon ground coriander seed | 1/2 teaspoon ground cayenne pepper | 1/2 teaspoon ground allspice | 1/2 teaspoon ground nutmeg | 1/4 teaspoon ground cloves,blend,https://www.allrecipes.com/recipe/150574/ras-el-hanout/
Ethiopian Cabbage Dish,5,"1/2 cup olive oil | 4 medium carrots, thinly sliced | 1 medium onion, thinly sliced | 1/2 head green cabbage, shredded | 1 teaspoon sea salt | 1/2 teaspoon ground black pepper | 1/2 teaspoon ground cumin, or to taste | 1/4 teaspoon ground turmeric, or to taste | 5 medium potatoes, peeled and cut into 1-inch cubes",,https://www.allrecipes.com/recipe/152937/ethiopian-cabbage-dish/
Best Bobotie,8,"2 tablespoons vegetable oil | 2 medium onions, minced | 1 1/2 pounds ground beef | 1 cup milk | 2 slices Texas toast thick-sliced bread | 1/2 cup raisins | 1 tablespoon hot chutney | 1/2 tablespoon curry powder | 1 teaspoon apricot jam | 1 teaspoon salt | 1/2 teaspoon ground black pepper | 1  large egg | 1 pinch salt | 1  bay leaf",bake,https://www.allrecipes.com/recipe/157881/best-bobotie/
Milk Tart,16,"1/2 cup butter, softened | 1 cup white sugar | 1  egg | 2 cups all-purpose flour | 2 teaspoons baking powder | 1 pinch salt | 4 cups milk | 1 teaspoon vanilla extract | 1 tablespoon butter | 2 1/2 tablespoons all-purpose flour | 2 1/2 tablespoons cornstarch | 1/2 cup white sugar | 2  eggs, beaten | 1/2 teaspoon ground cinnamon","bake, boil",https://www.allrecipes.com/recipe/16738/milk-tart/
Egyptian Koshary,8,"1 tablespoon vegetable oil | 2 cups uncooked white rice | 3 cups water | 1 teaspoon salt | 1 (16 ounce) package uncooked elbow macaroni | 1 cup beluga lentils, soaked in water | 1/2 teaspoon salt | 1 tablespoon vegetable oil | 5  onions, minced | 2 cloves garlic, minced | 3 tablespoons distilled white vinegar | 4  ripe tomatoes, diced | 1/2 cup tomato paste | 1 1/2 teaspoons salt | 1 teaspoon ground black pepper | 2 1/2 teaspoons ground cumin | 1/4 teaspoon cayenne pepper","boil, simmer",https://www.allrecipes.com/recipe/173422/egyptian-koshary/
Moroccan Chicken,4,"1 tbsp olive oil | 1 pound skinless, boneless chicken breast meat - cubed | 1 teaspoon salt | 1  onion, chopped | 2  carrots, sliced | 2 stalks celery, sliced | 2 cloves garlic, chopped | 1 tablespoon minced fresh ginger root | 3/4 teaspoon ground cumin | 1/2 teaspoon paprika | 1/2 teaspoon dried oregano | 1/4 teaspoon ground cayenne pepper | 1/4 teaspoon ground turmeric | 1 1/2 cups chicken broth | 1 cup crushed tomatoes | 1 cup canned chickpeas, drained | 1  zucchini, sliced | 1 tablespoon lemon juice","sauté, simmer",https://www.allrecipes.com/recipe/18182/moroccan-chicken/
Om Ali,8,"1 (17.5 ounce) package frozen puff pastry sheets, thawed | 1/2 cup chopped walnuts | 1 cup chopped pecans | 1 cup chopped hazelnuts | 1 cup raisins | 1 cup flaked coconut | 1 1/4 cups white sugar, divided | 4 cups milk | 1/2 cup heavy cream","boil, broil",https://www.allrecipes.com/recipe/19898/om-ali/
Beghrir (Moroccan Pancakes),6,"1 cup warm water (115 degrees F/46 degrees C) | 1/2 teaspoon active dry yeast | 1/2 teaspoon white sugar | 1 cup milk | 1 cup all-purpose flour | 1 cup semolina flour | 2  eggs | 2 teaspoons baking powder | 1 teaspoon salt | 6 tablespoons butter | 3/4 cup honey | 1 teaspoon orange-flower water, or to taste (Optional)","blend, microwave",https://www.allrecipes.com/recipe/206740/beghrir-moroccan-pancakes/
Moroccan Shabbat Fish,6,"1  red bell pepper, cut into thin strips | 3  tomatoes, sliced | 6 (6 ounce) tilapia fillets | 1 cup water | 1/4 cup olive oil | 2 tablespoons paprika | 1 tablespoon chicken bouillon granules | 1 teaspoon cayenne pepper | salt and ground black pepper to taste | 1/4 cup chopped fresh parsley",bake,https://www.allrecipes.com/recipe/213243/moroccan-shabbat-fish/
Shakshuka,4,"3 tablespoons olive oil | 1 1/3 cups chopped onion | 1 cup thinly sliced bell peppers | 2 cloves garlic, minced, or to taste | 2 1/2 cups chopped tomatoes | 1  hot chile pepper, seeded and finely chopped, or to taste | 1 teaspoon ground cumin | 1 teaspoon paprika | 1 teaspoon salt | 4 large eggs",simmer,https://www.allrecipes.com/recipe/213717/chakchouka-shakshouka/
South African Brown Pudding,16,2 cups white sugar | 4  eggs | 2 cups flour | 2 teaspoons baking powder | 2 teaspoons baking soda | 1/2 teaspoon salt | 3 tablespoons distilled white vinegar | 2 tablespoons apricot jam | 2 cups milk | 1 cup sugar | 1 cup water | 1 cup milk | 1/2 cup butter or margarine | 2 teaspoons vanilla,"bake, boil",https://www.allrecipes.com/recipe/214766/south-african-brown-pudding/
Make-Ahead Vegetarian Moroccan Stew,8,"1 teaspoon ground cinnamon | 1 teaspoon ground cumin | 1 teaspoon kosher salt | 1/2 teaspoon ground ginger | 1/4 teaspoon ground cloves | 1/4 teaspoon ground nutmeg | 1/4 teaspoon ground turmeric | 1/8 teaspoon curry powder | 1 tablespoon butter | 1 medium sweet onion, chopped | 2 cups finely shredded kale | 4 (14.5 ounce) cans organic vegetable broth | 1 (15 ounce) can garbanzo beans, drained | 1 (14.5 ounce) can diced tomatoes, undrained | 3 large potatoes, peeled and diced | 2 medium sweet potatoes, peeled and diced | 4 large carrots, chopped | 1 cup dried lentils, rinsed | 1/2 cup chopped dried apricots | 1 tablespoon honey | 1 teaspoon ground black pepper, to taste | 1 tablespoon cornstarch (Optional) | 1 tablespoon water (Optional)","boil, simmer, stew",https://www.allrecipes.com/recipe/217109/make-ahead-vegetarian-moroccan-stew/
Moroccan Chickpea Stew,4,"1 tablespoon olive oil | 1 small onion, chopped | 2 cloves garlic, minced | 2 teaspoons ground cumin | 2 teaspoons ground coriander | 1 teaspoon garam masala | 1/2 teaspoon cayenne pepper, or to taste | 1/2 teaspoon curry powder | 1 pinch salt | 3  potatoes, cut into 1/2-inch cubes | 1 (14.5 ounce) can diced tomatoes, undrained | 1 cup tomato sauce | 1 cup golden raisins | water, enough to cover | 1 bunch kale, ribs removed, chopped | 1 (14.5 ounce) can chickpeas, drained and rinsed | 1/2 cup chopped fresh cilantro","simmer, stew",https://www.allrecipes.com/recipe/217947/moroccan-chickpea-stew/
West African Peanut Stew,4,"2 tablespoons peanut oil | 1  red onion, chopped | 2 tablespoons chopped fresh ginger | 2 cloves garlic, minced | 1 pound chicken, cut into chunks (Optional) | 1 tablespoon crushed red pepper, or to taste | salt and ground black pepper to taste | 5 cups chicken stock | 3 small sweet potatoes, cut into chunks | 1 (16 ounce) can chopped tomatoes, with liquid | 1 cup chunky peanut butter | 1/4 pound collard greens, roughly chopped","boil, simmer",https://www.allrecipes.com/recipe/217952/west-african-peanut-stew/
Egyptian Lentil Soup,4,"3 cups water | 1 cup red lentils | 1  roma tomato, quartered | 1  carrot, quartered | 1 small onion, quartered | 4 cloves garlic, quartered | 1/4 cube chicken bouillon (such as Maggi®) | 1 cup water | 2 teaspoons ground cumin | 1/2 teaspoon sea salt | 1/2 teaspoon cracked black pepper | 1/4 teaspoon ground coriander",blend,https://www.allrecipes.com/recipe/222661/egyptian-lentil-soup/
African Cabbage Stew,12,"1 large head cabbage, diced | 1/4 cup canola oil | 1  onion, diced | 2 teaspoons minced garlic | 4  roma (plum) tomatoes, diced | 1 cup water | 1 (6 ounce) can tomato paste | 1 (15 ounce) can mackerel in tomato sauce | 1 pinch red pepper flakes, or to taste | 1 pinch seasoned salt, or to taste","boil, simmer",https://www.allrecipes.com/recipe/228662/african-cabbage-stew/
Couscous with Olives and Sun-Dried Tomato,4,"1 1/4 cups vegetable broth | 1 1/4 cups water | 2 cups pearl (Israeli) couscous | 1 pinch salt | 1 pinch ground black pepper | 5 tablespoons olive oil, divided | 1/2 cup pine nuts | 4 cloves garlic, minced | 1  shallot, minced | 1/2 cup sliced black olives | 1/3 cup sun-dried tomatoes packed in oil, drained and chopped | 1 cup vegetable broth | 1/4 cup chopped fresh flat-leaf parsley","boil, simmer, toast",https://www.allrecipes.com/recipe/232210/couscous-with-olives-and-sun-dried-tomato/
Traditional Baba Ghanoush,4,"1 large eggplant | 4 cloves garlic, smashed | 1 1/2 tablespoons tahini sauce | 1/2 medium lemon, juiced | 1/2 teaspoon red pepper flakes (Optional) | salt to taste | 1 tablespoon olive oil, or to taste | 1 pinch dried parsley flakes, for garnish",roast,https://www.allrecipes.com/recipe/236310/traditional-baba-ghanoush/
Berbere (Ethiopian Spice),24,1 cup red chili powder | 1/2 cup paprika | 1 tablespoon salt | 1 teaspoon ground fenugreek | 1 teaspoon ground ginger | 1 teaspoon onion powder | 1 teaspoon ground coriander | 1 teaspoon ground cardamom | 1/2 teaspoon garlic powder | 1/4 teaspoon ground cloves | 1/4 teaspoon ground cinnamon,,https://www.allrecipes.com/recipe/236741/berbere-ethiopian-spice/
African Sweet Potato Stew,10,"1  onion, chopped | 2 small jalapeno peppers, seeded and chopped | 3 cloves garlic, minced | 2 teaspoons minced fresh ginger | 2 teaspoons ground cumin | 1/2 teaspoon salt | 1/4 teaspoon ground coriander | 1/4 teaspoon ground cinnamon | 1/8 teaspoon red pepper flakes | 4 cups water | 2 1/2 pounds sweet potatoes, peeled and chopped into 2-inch pieces | 2 (15 ounce) cans diced tomatoes, drained | 2 (15 ounce) cans chickpeas, drained and rinsed | 1/4 cup peanut butter | 1 (15 ounce) can sliced green beans, drained","slow cook, stew",https://www.allrecipes.com/recipe/245682/african-sweet-potato-stew/
South African Traditional Vetkoek (Fried Bread),12,2 cups lukewarm water | 1/4 cup white sugar | 1 (.25 ounce) package active dry yeast | 7 cups all-purpose flour | 2 teaspoons salt | 3 cups oil for frying,fry,https://www.allrecipes.com/recipe/245683/south-african-traditional-vetkoek-fried-bread/
Sabaayad (Somali Flatbread),10,"4 cups all-purpose flour | 1 teaspoon salt | 3 tablespoons olive oil | 2 tablespoons honey | 1 1/2 cups lukewarm water | 2 tablespoons canola oil, divided, or more as needed (Optional)",,https://www.allrecipes.com/recipe/246109/sabaayad-somali-flatbread/
Doro Wat: Ethiopian Chicken Dish,4,"1 cup unsalted butter, divided | 1  onion, chopped | 2 1/2 cups water, divided | 1 (6 ounce) can tomato paste | 3/4 cup berbere seasoning | 1 teaspoon chopped garlic | 1/2 teaspoon ground ginger | 4  skinless, boneless chicken breasts, cubed | 1/3 cup sweet white wine | 1/2 teaspoon ground cardamom | 1/2 teaspoon freshly ground black pepper | 4  hard-cooked eggs",simmer,https://www.allrecipes.com/recipe/246340/doro-wat-ethiopian-chicken-dish/
Ta'ameya (Egyptian Falafel),10,"2 cups dried split fava beans | 1  red onion, quartered | 1/2 cup fresh parsley | 1/2 cup fresh cilantro | 1/2 cup fresh dill | 3 cloves garlic | 1 1/2 teaspoons ground coriander | 1 1/2 teaspoons salt | 1 teaspoon ground cumin | 1 cup sesame seeds (Optional) | 1 quart vegetable oil for frying, or as needed","fry, toast",https://www.allrecipes.com/recipe/254743/taameya-egyptian-falafel/
The Perfect Egyptian Rice with Vermicelli,3,1 1/2 tablespoons olive oil | 1/4 cup 1/2-inch long vermicelli | 1 cup Egyptian rice (short-grain rice) | salt to taste | 1 3/4 cups water,boil,https://www.allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli/
Nigerian Suya,4,"1 tablespoon finely ground roasted peanuts | 1 teaspoon ground cayenne pepper | 1 teaspoon ground paprika | 1 teaspoon salt | 1/2 teaspoon ground ginger | 1/2 teaspoon garlic powder | 1/2 teaspoon onion powder | 1 1/2 pounds beef tri-tip steak, cut into bite-size pieces | 1  red bell pepper, cut into bite-size pieces | 1/4  onion, cut into bite-size pieces | 4  mushrooms, halved","grill, marinate",https://www.allrecipes.com/recipe/255142/nigerian-suya/
Berbere Spice Blend,48,1/2 cup ground dried New Mexico chiles | 1/4 cup paprika | 1 tablespoon cayenne pepper | 1 teaspoon onion powder | 1 teaspoon ground ginger | 1 teaspoon cumin | 1 teaspoon ground coriander | 1 teaspoon ground cardamom | 1 teaspoon ground fenugreek | 1/2 teaspoon garlic powder | 1/2 teaspoon ground cinnamon | 1/2 teaspoon ground allspice | 1/2 teaspoon ground cloves | 1/4 teaspoon ground nutmeg,,https://www.allrecipes.com/recipe/255863/berbere-spice-blend/
Ginger Malva Pudding,8,1 cup white sugar | 1  egg | 1 tablespoon butter | 1 tablespoon apricot jam | 1 tablespoon white vinegar | 2 teaspoons ground ginger | 1 teaspoon baking soda | 1 cup milk | 1 cup all-purpose flour | 1 cup milk | 1/2 cup butter | 1/2 cup white sugar | 1/4 cup water,"bake, boil",https://www.allrecipes.com/recipe/256679/ginger-malva-pudding/
Algerian Couscous,10,"1/4 cup olive oil, or more as needed, divided | 8  mutton chops, fat removed | 4  chicken drumsticks | 1 pinch salt and ground black pepper to taste | 3  onions, quartered | water to cover | 2 tablespoons ground turmeric | 2 tablespoons ground cumin | 2 tablespoons ground coriander | 3  potatoes, cut into chunks | 3  turnips, cut into chunks | 3  carrots, sliced lengthwise and cut into chunks | 1 (6 ounce) can tomato paste | 2 tablespoons ras el hanout | 1 (7 ounce) can chickpeas, drained | 2  zucchini, sliced lengthwise and cut into chunks | 5 sprigs cilantro, chopped | 3 cups water | 2 cups couscous | 1 tablespoon butter | 3 tablespoons harissa","boil, simmer",https://www.allrecipes.com/recipe/256729/algerian-couscous/
Nigerian Jollof Rice with Chicken and Fried Plantains,8,"2 pounds chicken drumsticks | 1/2 large onion, diced | 1 (2 inch) piece fresh ginger root, peeled and thinly sliced | 2 cubes chicken bouillon, crushed | 2 cloves garlic, diced | 1 tablespoon curry powder, or more to taste | 1 teaspoon herbes de Provence | freshly ground black pepper | 1 pinch cayenne pepper | 1 cup water | 3 tablespoons vegetable oil | 1/2 large onion, diced | 1 (14 ounce) can tomato sauce | 1 (14 ounce) can coconut milk | 1 teaspoon herbes de Provence | 1 teaspoon salt, or to taste | 1/2 teaspoon ground black pepper, or to taste | 3 cups parboiled rice (such as Uncle Ben's®) | 1 (10 ounce) package frozen mixed vegetables (carrots, corn, peas) | 4  ripe plantains, peeled and cut diagonally into 1/2-inch slices | 1/2 cup canola oil for frying","bake, fry, grill, simmer",https://www.allrecipes.com/recipe/259978/nigerian-jollof-rice-with-chicken-and-fried-plantains/
Chapati (East African Bread),6,"2 cups all-purpose flour, sifted | 1 teaspoon salt | 3/4 cup warm water, or as needed | 1 teaspoon vegetable oil | 2 teaspoons all-purpose flour, or as needed | 1 tablespoon vegetable oil",fry,https://www.allrecipes.com/recipe/262203/chapati-east-african-bread/
Mandazi (African Donuts),18,"1 cup warm milk | 1/4 cup vegetable oil | 1/4 cup fine white sugar | 1 medium egg | 2 teaspoons instant yeast | 1/2 teaspoon salt | 1/2 teaspoon ground cardamom | 3 1/2 cups all-purpose flour, sifted | 2 quarts vegetable oil for frying, or as needed","deep fry, fry",https://www.allrecipes.com/recipe/262205/mandazi-african-donuts/
Vegan Chickpea Curry without Coconut Milk,4,"2 (15 ounce) cans chickpeas | 1 tablespoon baking soda | 1 tablespoon vegetable oil | 1  onion, finely chopped | 1 teaspoon ginger-garlic paste | 1/2 teaspoon cayenne pepper | 1/2 teaspoon salt | 1/2 teaspoon ground turmeric | 1/2 teaspoon garam masala | 1 (14.5 ounce) can diced tomatoes | 2 (10 ounce) packages frozen chopped spinach, thawed and drained",simmer,https://www.allrecipes.com/recipe/263337/vegan-chickpea-curry-without-coconut-milk/
Injera (Ethiopian Teff Bread),2,"1/2 cup white teff flour | 1/4 cup brown teff flour | 3 tablespoons white teff flour, divided, or as needed | 1 cup water | 3 tablespoons water, divided, or as needed | 1 teaspoon vegetable oil (Optional)",steam,https://www.allrecipes.com/recipe/264651/injera-ethiopian-teff-bread/
Harissa Powder,16,"10  dried, smoked chile peppers | 2 tablespoons cumin seeds | 2 tablespoons coriander seeds | 2 tablespoons caraway seeds | 1/2 teaspoon multi-colored whole peppercorns | 2 tablespoons smoked paprika | 1 1/2 teaspoons garlic powder | 1 teaspoon smoked salt | 1 teaspoon dried parsley | 1 teaspoon dried oregano","blend, smoke, toast",https://www.allrecipes.com/recipe/276693/harissa-powder/
