recipe_ingredient_name,matched_fdc_id,matched_food_name,match_status,notes
active yeast (dried),NULL,NULL,unmatched,NULL
active yeast batter cover bowl clean kitchen (dried),NULL,NULL,unmatched,NULL
african bird eye chile habanero chile,NULL,NULL,unmatched,NULL
african bird eye chile red thai chile habanero chile,NULL,NULL,unmatched,NULL
african nutmeg (ground),NULL,NULL,unmatched,NULL
african nutmeg,NULL,NULL,unmatched,NULL
aish baladi,NULL,NULL,unmatched,NULL
all purpose flour,NULL,NULL,unmatched,NULL
all purpose flour enough water make (paste),NULL,NULL,unmatched,NULL
all-purpose flour,NULL,NULL,unmatched,NULL
all-purpose flour as,NULL,NULL,unmatched,NULL
all-purpose flour handheld,NULL,NULL,unmatched,NULL
all-purpose flour pancake batter,NULL,NULL,unmatched,NULL
all-purpose flour sifted,NULL,NULL,unmatched,NULL
all-purpose seasoning,NULL,NULL,unmatched,NULL
allspice (ground),NULL,NULL,unmatched,NULL
almond (roasted),NULL,NULL,unmatched,NULL
almond extract,NULL,NULL,unmatched,NULL
apple cider vinegar,NULL,NULL,unmatched,NULL
apricot (dried),NULL,NULL,unmatched,NULL
apricot chutney,NULL,NULL,unmatched,NULL
apricot jam,NULL,NULL,unmatched,NULL
assorted boneles meat bite-size,NULL,NULL,unmatched,NULL
aunty bernie chapati rice,NULL,NULL,unmatched,NULL
avocado pitted,NULL,NULL,unmatched,NULL
baking (powder),NULL,NULL,unmatched,NULL
baking flour (powder),NULL,NULL,unmatched,NULL
baking oil (powder),NULL,NULL,unmatched,NULL
baking soda,NULL,NULL,unmatched,NULL
banana leave hot water soften thoroughly,NULL,NULL,unmatched,NULL
banku fufu,NULL,NULL,unmatched,NULL
basil (dried),NULL,NULL,unmatched,NULL
basil (fresh),NULL,NULL,unmatched,NULL
basmati rice,NULL,NULL,unmatched,NULL
bay leaf,NULL,NULL,unmatched,NULL
bay leave,NULL,NULL,unmatched,NULL
bean (dried),NULL,NULL,unmatched,NULL
beef (bouillon),NULL,NULL,unmatched,NULL
beef (ground),NULL,NULL,unmatched,NULL
beef (stock),NULL,NULL,unmatched,NULL
beef,NULL,NULL,unmatched,NULL
beef chicken (bouillon),NULL,NULL,unmatched,NULL
beef chicken cube (bouillon),NULL,NULL,unmatched,NULL
beef chicken vegetable (bouillon),NULL,NULL,unmatched,NULL
beef cube (bouillon),NULL,NULL,unmatched,NULL
beef cube (stock),NULL,NULL,unmatched,NULL
beef short rib,NULL,NULL,unmatched,NULL
beef silverside brisket coarsely,NULL,NULL,unmatched,NULL
beef stew meat,NULL,NULL,unmatched,NULL
beef trotter,NULL,NULL,unmatched,NULL
bell pepper,NULL,NULL,unmatched,NULL
berbere spice,NULL,NULL,unmatched,NULL
berbere spice mix,NULL,NULL,unmatched,NULL
berbere spice texture potato season,NULL,NULL,unmatched,NULL
bicarbonate soda,NULL,NULL,unmatched,NULL
bisto gravy,NULL,NULL,unmatched,NULL
bisto gravy thickener,NULL,NULL,unmatched,NULL
bitter leaf washed,NULL,NULL,unmatched,NULL
black cardamom seed,NULL,NULL,unmatched,NULL
black eyed bean overnight least hour,NULL,NULL,unmatched,NULL
black eyed pea,NULL,NULL,unmatched,NULL
black pepper (ground),NULL,NULL,unmatched,NULL
black pepper,NULL,NULL,unmatched,NULL
black pepper as,NULL,NULL,unmatched,NULL
black peppercorn (ground),NULL,NULL,unmatched,NULL
black peppercorn,NULL,NULL,unmatched,NULL
black peppercorn ginger,NULL,NULL,unmatched,NULL
black-eyed bean (dried),NULL,NULL,unmatched,NULL
black-eyed pea (dried),NULL,NULL,unmatched,NULL
black-eyed pea,NULL,NULL,unmatched,NULL
black-eyed pea overnight (dried),NULL,NULL,unmatched,NULL
blanched almond,NULL,NULL,unmatched,NULL
boerewor sausage,NULL,NULL,unmatched,NULL
boiled fried plantain,NULL,NULL,unmatched,NULL
boiled yam,NULL,NULL,unmatched,NULL
boiling water,NULL,NULL,unmatched,NULL
