recipe_id,ingredient_id,ingredient_index,ingredient_raw,grams_total,servings,grams_per_serving,extraction_method
1,397,1,2 tbsp (30 ml) olive oil,30.0,5,6.0,bracketed_metric
1,34,2,1 cup (211 g) basmati rice,211.0,5,42.2,bracketed_metric
1,613,3,2 cups (480 ml) vegetable stock,480.0,5,96.0,bracketed_metric
1,92,4,1 cup (201 g) brown lentils,201.0,5,40.2,bracketed_metric
1,626,5,"2 cups (480 ml) water, plus more as needed",480.0,5,96.0,bracketed_metric
1,251,6,1 clove garlic,4.0,5,0.8,count_estimate
1,197,7,1 tsp ground cumin,5.0,5,1.0,volume_unit
1,35,8,1 bay leaf,,5,,no_match
1,522,9,2 tsp (10 g) salt,10.0,5,2.0,bracketed_metric
1,215,10,2 cups (232 g) elbow macaroni,232.0,5,46.4,bracketed_metric
1,399,12,"1 large onion, finely chopped",150.0,5,30.0,count_estimate
1,251,13,"2 cloves garlic, minced",8.0,5,1.6,count_estimate
1,597,14,1 (16-oz [448-g]) can diced tomatoes,448.0,5,89.6,bracketed_metric
1,474,15,2 tsp (2 g) Ras El Hanout,2.0,5,0.4,bracketed_metric
1,525,16,"Salt and black pepper, to taste",,5,,no_match
1,501,17,¼ tsp crushed red pepper flakes,1.25,5,0.25,volume_unit
1,504,18,1 tbsp (15 ml) red wine vinegar,15.0,5,3.0,bracketed_metric
1,616,19,"Vegetable oil, as needed",,5,,no_match
1,399,20,"2 large onions, thinly sliced",300.0,5,60.0,count_estimate
1,150,21,"1 (15-oz [420-g]) can chickpeas, drained and rinsed",420.0,5,84.0,bracketed_metric
2,514,1,"5 medium Roma tomatoes, roughly chopped",550.0,7,78.57,count_estimate
2,489,2,"1 large red bell pepper, roughly chopped",150.0,7,21.43,count_estimate
2,533,3,2 small Scotch bonnet chiles or habanero chiles,140.0,7,20.0,count_estimate
2,277,4,¼ cup (60 ml) groundnut oil or vegetable oil,60.0,7,8.57,bracketed_metric
2,399,5,"1 medium onion, roughly chopped",110.0,7,15.71,count_estimate
2,598,6,3 tbsp (48 g) tomato paste,48.0,7,6.86,bracketed_metric
2,134,7,2½ cups (600 ml) chicken stock,600.0,7,85.71,bracketed_metric
2,522,8,1 tsp salt,5.0,7,0.71,volume_unit
2,202,9,½ tsp curry powder,2.5,7,0.36,volume_unit
2,591,10,½ tsp dried thyme,2.5,7,0.36,volume_unit
2,15,11,1 tsp all-purpose seasoning,5.0,7,0.71,volume_unit
2,44,12,"1 beef, chicken or vegetable bouillon cube",,7,,no_match
2,507,13,"2 cups parboiled rice, rinsed",480.0,7,68.57,volume_unit
2,36,14,3 bay leaves,,7,,no_match
3,135,1,3 lb (1.4 kg) chicken (any cut),1400.0,9,155.56,bracketed_metric
3,591,2,1 tbsp (3 g) dried thyme,3.0,9,0.33,bracketed_metric
3,253,3,1 tsp garlic powder,5.0,9,0.56,volume_unit
3,133,4,1 chicken bouillon cube,,9,,no_match
3,526,5,"Salt and black pepper, as needed",,9,,no_match
3,615,6,"1½ cups (360 ml) vegetable oil, divided",360.0,9,40.0,bracketed_metric
3,514,7,"4 medium Roma tomatoes, roughly chopped",440.0,9,48.89,count_estimate
3,438,8,"1 (28-oz [784-g]) can whole peeled plum tomatoes, drained",784.0,9,87.11,bracketed_metric
3,489,9,"1 large red bell pepper, roughly chopped",150.0,9,16.67,count_estimate
3,280,10,2 small habanero chiles,140.0,9,15.56,count_estimate
3,399,11,"1 medium onion, thinly sliced",110.0,9,12.22,count_estimate
3,598,12,2 tbsp (32 g) tomato paste,32.0,9,3.56,bracketed_metric
3,134,13,1 cup (240 ml) chicken stock,240.0,9,26.67,bracketed_metric
3,591,14,1½ tsp (2 g) dried thyme,2.0,9,0.22,bracketed_metric
3,388,15,1 tbsp (8 g) Nigerian red pepper or cayenne pepper,8.0,9,0.89,bracketed_metric
3,15,16,1 tsp all-purpose seasoning,5.0,9,0.56,volume_unit
3,35,18,1 bay leaf,,9,,no_match
4,140,1,"1½ lb (680 g) chicken breasts, cut into 2-inch (6-cm) pieces",680.0,7,97.14,bracketed_metric
4,522,2,"1 tbsp (15 g) salt, plus more to taste",15.0,7,2.14,bracketed_metric
4,63,3,"1 tsp black pepper, plus more to taste",5.0,7,0.71,volume_unit
4,399,4,"1 small onion, thickly sliced",70.0,7,10.0,count_estimate
4,625,5,3 cups (720 ml) water,720.0,7,102.86,bracketed_metric
4,615,6,¼ cup (60 ml) vegetable oil,60.0,7,8.57,bracketed_metric
4,597,7,"2 medium tomatoes, roughly chopped",220.0,7,31.43,count_estimate
4,399,8,"1 medium onion, roughly chopped, divided",110.0,7,15.71,count_estimate
4,254,9,"3 to 4 cloves garlic, whole",,7,,no_match
4,414,10,2 to 3 tbsp (6 to 9 g) dried parsley,,7,,no_match
4,411,11,1 tsp smoked paprika,5.0,7,0.71,volume_unit
4,127,12,1 tbsp (8 g) cayenne pepper,8.0,7,1.14,bracketed_metric
4,639,13,½ tsp white pepper,2.5,7,0.36,volume_unit
4,519,14,"¾ lb (340 g) russet potatoes, roughly chopped",340.0,7,48.57,bracketed_metric
4,120,15,"¼ lb (113 g) carrots, roughly chopped",113.0,7,16.14,bracketed_metric
4,556,16,½ cup (90 g) smooth peanut butter,90.0,7,12.86,bracketed_metric
4,280,17,"1 small habanero chile, diced",70.0,7,10.0,count_estimate
5,49,1,1½ lb (680 g) beef stew meat,680.0,7,97.14,bracketed_metric
5,526,2,"Salt and black pepper, as needed",,7,,no_match
5,591,3,1 tbsp (3 g) dried thyme,3.0,7,0.43,bracketed_metric
5,399,4,"1 small onion, roughly chopped",70.0,7,10.0,count_estimate
5,625,5,1 cup (240 ml) water,240.0,7,34.29,bracketed_metric
5,40,6,6 cups (1.4 L) beef stock,1400.0,7,200.0,bracketed_metric
5,212,7,"4 cups (600 g) egusi melon seeds, ground",600.0,7,85.71,bracketed_metric
5,399,8,"1 large onion, roughly chopped",150.0,7,21.43,count_estimate
5,282,9,"2 small habanero chiles, stems removed",140.0,7,20.0,count_estimate
5,409,10,¾ cup (180 ml) palm oil,180.0,7,25.71,bracketed_metric
5,58,11,"4 tbsp (85 g) bitter leaf, washed",85.0,7,12.14,bracketed_metric
5,562,12,6 cups (180 g) roughly chopped spinach,180.0,7,25.71,bracketed_metric
5,191,13,3 tbsp (18 g) ground crayfish,18.0,7,2.57,bracketed_metric
5,387,14,1 tbsp (8 g) Nigerian red pepper,8.0,7,1.14,bracketed_metric
5,245,15,"Fufu , for serving",,7,,no_match
6,85,1,"4 boneless, skinless chicken breasts",,6,,no_match
6,142,2,4 chicken drumsticks,,6,,no_match
6,399,3,4 cups (460 g) sliced onions,460.0,6,76.67,bracketed_metric
6,333,4,⅓ cup (80 ml) fresh lemon juice,80.0,6,13.33,bracketed_metric
6,522,5,1 tsp salt,5.0,6,0.83,volume_unit
6,63,6,½ tsp black pepper,2.5,6,0.42,volume_unit
6,281,7,"1 small habanero chile, seeded and minced",70.0,6,11.67,count_estimate
6,423,8,1½ tbsp (23 ml) peanut oil,23.0,6,3.83,bracketed_metric
6,134,9,1½ cups (360 g) chicken stock,360.0,6,60.0,bracketed_metric
6,430,10,½ cup (75 g) pimento-stuffed olives,75.0,6,12.5,bracketed_metric
6,625,11,½ cup (120 ml) water,120.0,6,20.0,bracketed_metric
6,205,12,1 tbsp (16 g) Dijon mustard,16.0,6,2.67,bracketed_metric
6,508,13,"Rice, for serving",,6,,no_match
7,616,1,"Vegetable oil, as needed",,6,,no_match
7,17,2,¼ cup (43 g) roasted almonds,43.0,6,7.17,bracketed_metric
7,128,3,2 tbsp (16 g) cayenne pepper or Nigerian red pepper,16.0,6,2.67,bracketed_metric
7,411,4,2 tsp (6 g) smoked paprika,6.0,6,1.0,bracketed_metric
7,253,5,1 tbsp (8 g) garlic powder,8.0,6,1.33,bracketed_metric
7,400,6,1 tbsp (8 g) onion powder,8.0,6,1.33,bracketed_metric
7,639,7,1 tbsp (8 g) white pepper,8.0,6,1.33,bracketed_metric
7,133,8,1 chicken bouillon cube,,6,,no_match
7,522,9,"Salt, to taste",,6,,no_match
7,551,10,2 lb (900 g) sirloin or chuck roast,900.0,6,150.0,bracketed_metric
8,,1,"My dad loves beans. He can make a pot of beans like no other. I, on the other hand, have a love-hate relationship with beans. It seems like I’ve never been able to enjoy them on their own and always need something to accompany them. My solution to that conundrum is this recipe. Some of my favorite ingredients, like palm oil and plantain, are included here—having other ingredients in the pot of beans enhances the flavor and breaks up the monotony of only having beans. I love the texture the spinach and plantains add.",,6,,no_match
8,71,2,"2 cups (303 g) dried black-eyed peas, soaked overnight",303.0,6,50.5,bracketed_metric
8,625,3,4 cups (960 ml) water,960.0,6,160.0,bracketed_metric
8,409,4,¾ cup (180 ml) palm oil,180.0,6,30.0,bracketed_metric
8,191,5,3 tbsp (18 g) ground crayfish,18.0,6,3.0,bracketed_metric
8,280,6,"1 small habanero chile, finely chopped",70.0,6,11.67,count_estimate
8,42,7,1 beef or chicken bouillon cube,,6,,no_match
8,512,8,"1 large ripe plantain, cut into ¼-inch (6-mm) thick rounds",150.0,6,25.0,count_estimate
8,593,9,"2 cups (60 g) tightly packed spinach, roughly chopped",60.0,6,10.0,bracketed_metric
8,522,10,"Salt, to taste",,6,,no_match
9,511,1,2 large ripe plantains,300.0,4,75.0,count_estimate
9,615,2,"¼ cup (60 ml) vegetable oil, divided",60.0,4,15.0,bracketed_metric
9,399,3,"1 medium onion, diced",110.0,4,27.5,count_estimate
9,280,4,"1 small habanero chile, diced",70.0,4,17.5,count_estimate
9,51,5,"1 large bell pepper (any color), diced",150.0,4,37.5,count_estimate
9,597,6,"1 small tomato, diced",70.0,4,17.5,count_estimate
9,251,7,1 tsp minced garlic,5.0,4,1.25,volume_unit
9,209,8,6 large eggs,900.0,4,225.0,count_estimate
9,159,9,"¼ cup (10 g) fresh cilantro, roughly chopped",10.0,4,2.5,bracketed_metric
9,364,10,2 tbsp (30 ml) milk,30.0,4,7.5,bracketed_metric
9,412,11,1 tsp paprika,5.0,4,1.25,volume_unit
9,591,12,1 tsp dried thyme,5.0,4,1.25,volume_unit
10,615,1,2 tbsp (30 ml) vegetable oil,30.0,5,6.0,bracketed_metric
10,399,2,"1 medium onion, roughly chopped",110.0,5,22.0,count_estimate
10,280,3,"1 small habanero chile, minced",70.0,5,14.0,count_estimate
10,514,4,"1 large Roma tomato, roughly chopped",150.0,5,30.0,count_estimate
10,186,5,2 (12-oz [336-g]) cans corned beef,336.0,5,67.2,bracketed_metric
10,562,6,2 lb (900 g) roughly chopped spinach,900.0,5,180.0,bracketed_metric
10,387,7,1 tbsp (8 g) Nigerian red pepper,8.0,5,1.6,bracketed_metric
10,253,8,2 tsp (6 g) garlic powder,6.0,5,1.2,bracketed_metric
10,400,9,1 tsp onion powder,5.0,5,1.0,volume_unit
10,133,10,1 chicken bouillon cube,,5,,no_match
10,15,11,1 tbsp (8 g) all-purpose seasoning,8.0,5,1.6,bracketed_metric
10,75,12,"Boiled yams, for serving, optional",,5,,no_match
10,74,13,"Boiled or fried plantains, for serving, optional",,5,,no_match
11,595,1,"4 whole tilapia, washed and cleaned thoroughly",,5,,no_match
11,522,2,2 tsp (10 g) salt,10.0,5,2.0,bracketed_metric
11,63,3,2 tsp (6 g) black pepper,6.0,5,1.2,bracketed_metric
11,331,4,2 medium lemons,220.0,5,44.0,count_estimate
11,5,5,2 tsp (6 g) ground African nutmeg (ehuru),6.0,5,1.2,bracketed_metric
11,572,6,2 tsp (5 g) star anise seeds,5.0,5,1.0,bracketed_metric
11,159,7,½ cup fresh cilantro,120.0,5,24.0,volume_unit
11,260,8,"1 (1-inch [5-cm]) piece fresh ginger, peeled",,5,,no_match
11,251,9,10 cloves garlic,40.0,5,8.0,count_estimate
11,411,10,1 tsp smoked paprika,5.0,5,1.0,volume_unit
11,133,11,1 chicken bouillon cube,,5,,no_match
11,399,12,"1 medium onion, roughly chopped",110.0,5,22.0,count_estimate
11,616,13,"Vegetable oil, as needed",,5,,no_match
11,508,14,"Rice, for serving",,5,,no_match
12,23,1,"1½ lb (680 g) assorted boneless meats (e.g., beef, goat, chicken), cut into bite-size pieces",680.0,5,136.0,bracketed_metric
12,399,2,"1 large onion, roughly chopped",150.0,5,30.0,count_estimate
12,260,3,"1 (½-inch [13-mm]) piece fresh ginger, peeled",,5,,no_match
12,251,4,2 cloves garlic,8.0,5,1.6,count_estimate
12,43,5,3 beef or chicken bouillon cubes,,5,,no_match
12,523,6,"Salt, as needed",,5,,no_match
12,625,7,6 cups (1.4 L) water,1400.0,5,280.0,bracketed_metric
12,280,8,"4 small habanero chiles, thinly sliced",280.0,5,56.0,count_estimate
12,127,9,1 tbsp (8 g) cayenne pepper,8.0,5,1.6,bracketed_metric
