recipe_id,recipe_name,servings,ingredient_coverage_pct,recipe_url,cuisine,ingredients,ingredient_count
134,"Ekuru, stewed greens and crispy cod cheeks",4,0.0,https://www.bbc.co.uk/food/recipes/ekuru_stewed_greens_and_67084,,black eyed bean overnight least hour ; onion ; egusi seed ; white pepper ; vegetable oil extra greasing ; vegetable ; free-range egg white,7
138,Lamb and apricot Cape Malay curry,4,0.0,https://www.bbc.co.uk/food/recipes/lamb_and_apricot_cape_72967,,shoulder lamb,1
140,Nigerian stew and cauliflower fried âriceâ,4,0.0,https://www.bbc.co.uk/food/recipes/nigerian_stew_and_13543,Nigeria,red pepper deseeded ; brown onion ; garlic ; cm root ginger ; generou red chilli extra if desired,5
146,Suya beef fillet burger,2,0.0,https://www.bbc.co.uk/food/recipes/suya_fillet_burger_with_59824,,paprika ; cayenne pepper ; ginger ; garlic ; black pepper ; onion salt ; turmeric ; extra hot chilli ; uda pod,9
174,Lasary Legioma,4,50.0,,MADAGASCAR,squeezed refrigerator ; ginger,2
203,Easy Grilled Corn on the Cob Recipe,4,0.0,https://cheflolaskitchen.com/grilled-corn-on-the-cob/,,ear corn husk silk removed ; unsalted butter ; topping herb salt,3
214,60+ Nigerian Recipes You Need To Try,4,0.0,https://cheflolaskitchen.com/nigerian-recipes-you-need-to-try/,Nigeria,jollof rice,1
241,How to cook Sadza ReMhunga,4,0.0,https://www.zimbokitchen.com/how-to-cook-sadza-remhunga/,Zimbabwe,grain hub mhunga ; room temperature water ; boiling water,3
253,Delicious Mupunga (Brown Rice) Sadza,4,0.0,https://www.zimbokitchen.com/delicious-mupunga-brown-rice-sadza/,Zimbabwe,grain hub mupunga ; cold water ; boiling water,3
261,Sticky BBQ Rack of Ribs,4,0.0,https://www.zimbokitchen.com/sticky-bbq-rack-of-ribs/,Zimbabwe,rack pork rib ; salt ; garlic ; hot water chicken ; mr sauce bbq sauce ; mr sauce lemon juice,6
339,ACCRA CASSAVA (KOUTI OR CASSAVA FRITTERS),12,0.0,https://www.africanbites.com/accra-cassavakouti-cassava-fritters/,,cassava ; salt ; overly ripe banana,3
340,ACHU SOUP,6,0.0,https://www.africanbites.com/achu-soupyellow-soup-achu/,,meat beef ; salt per ; red pepper ; stock ; red palm oil ; achu spice ; bouillon maggi ; limestone ; cocoyam ; green banana plantain ; salt,11
379,CASSAVA FUFU/WATER FUFU,4,0.0,https://www.africanbites.com/cassava-fufu-water-fufu/,,tuber cassava ; water ; lemon,3
404,EGUSI PUDDING,5,0.0,https://www.africanbites.com/egusi-pudding/,,fish ; beef boiled ; egusi ; cray fish ; scotch bonnet pepper pepper ; bouillon cube maggie ; salt,7
