source,recipe_url,recipe_id,recipe_title,servings_raw,ingredient_index,ingredient_section,ingredient_line_raw,qty_raw,qty_value,unit,ingredient_name,ingredient_item,ingredient_notes,method_text,instructions,cooking_method_tags,method_keywords,source_chapter,page_num,country,common_name,description
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,1,"RICE , LENTILS AND MACARONI",2 tbsp (30 ml) olive oil,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,2,"RICE , LENTILS AND MACARONI",1 cup (211 g) basmati rice,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,3,"RICE , LENTILS AND MACARONI",2 cups (480 ml) vegetable stock,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,4,"RICE , LENTILS AND MACARONI",1 cup (201 g) brown lentils,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,5,"RICE , LENTILS AND MACARONI","2 cups (480 ml) water, plus more as needed",,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,6,"RICE , LENTILS AND MACARONI",1 clove garlic,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,7,"RICE , LENTILS AND MACARONI",1 tsp ground cumin,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,8,"RICE , LENTILS AND MACARONI",1 bay leaf,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,9,"RICE , LENTILS AND MACARONI",2 tsp (10 g) salt,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
africa_recipes_scrape_single_table.csv,,1,KOSHARI,MAKES 4 TO 6 SERVINGS,10,"RICE , LENTILS AND MACARONI",2 cups (232 g) elbow macaroni,,,,,,,"To make the rice, lentils and macaroni, heat the olive oil in a large saucepan over medium heat. Add the rice to the saucepan, toasting it for 2 to 3 minutes. Pour the vegetable stock onto the rice and bring it to a boil. Once the rice is boiling, reduce the heat to low, cover the saucepan and simmer the rice for 15 to 20 minutes, until it is cooked. While the rice is cooking, rinse the lentils. Place the lentils and water in a small pot over medium heat. Add the garlic, cumin, bay leaf and salt and bring to a boil. Once the lentils are boiling, reduce the heat to low, cover the pot and simmer for 30 to 40 minutes. The lentils should be tender, and all of the liquid should have evaporated. Bring a medium pot of water to a boil over high heat. Add the macaroni and cook until it is al dente, 7 to 8 minutes. To make the sauce, heat the olive oil in a large saucepan over medium-high heat. Add the onion and sauté until it is soft and translucent, about 5 minutes. Add the garlic and cook for 30 seconds. Add the tomatoes with their juices, ras el hanout, salt and black pepper and crushed red pepper flakes. Stir the ingredients together, then add the vinegar. Bring the sauce to a simmer, cover and cook for 20 minutes, stirring occasionally. Meanwhile, to make the crispy onion topping, heat some oil in a medium pot over high heat. Add the onion slices and fry until they are golden brown in color, about 5 minutes. Remove them from the oil using a slotted spoon and place them on a paper towel to drain. Add the rice, lentils and macaroni to a large bowl. Toss together until they are mixed well. Pour the sauce into the bowl and mix the ingredients together. Top the koshari with the crispy onions and chickpeas.",,,fry; sauté; boil; simmer; mix; stir,OEBPS/ch50.xhtml,,,,
